# Z      log(age)  logTe    logL/Lo  IMF         stage
0.0152   9.0       3.4983   -2.9107  1.57040203   0
0.0152   9.0       3.5259   -2.6559  1.74782515   0
0.0152   9.0       3.5413   -2.4834  1.89584959   0
0.0152   9.0       3.5518   -2.3495  2.0211525   0
0.0152   9.0       3.5654   -2.1485  2.22178221   0
0.0152   9.0       3.5762   -1.962  2.40809011   0
0.0152   9.0       3.5874   -1.7294  2.61602283   0
0.0152   9.0       3.5867   -1.7407  2.60410357   1
0.0152   9.0       3.5898   -1.6931  2.6555202   1
0.0152   9.0       3.592   -1.6367  2.69407988   1
0.0152   9.0       3.5941   -1.5695  2.73791862   1
0.0152   9.0       3.5943   -1.5653  2.7413373   1
0.0152   9.0       3.6007   -1.4597  2.81098008   1
0.0152   9.0       3.6081   -1.3447  2.86847806   1
0.0152   9.0       3.6114   -1.296  2.884583   1
0.0152   9.0       3.6173   -1.222  2.91663504   1
0.0152   9.0       3.6211   -1.1692  2.93236876   1
0.0152   9.0       3.6224   -1.1532  2.93691874   1
0.0152   9.0       3.6232   -1.1426  2.93985176   1
0.0152   9.0       3.6238   -1.1347  2.94196367   1
0.0152   9.0       3.6241   -1.1287  2.94354296   1
0.0152   9.0       3.6274   -1.0923  2.95739889   1
0.0152   9.0       3.6401   -0.9601  2.9923687   1
0.0152   9.0       3.6546   -0.8269  3.02253795   1
0.0152   9.0       3.6742   -0.6917  3.04879928   1
0.0152   9.0       3.6943   -0.56  3.07187057   1
0.0152   9.0       3.7064   -0.4805  3.08489299   1
0.0152   9.0       3.7135   -0.4343  3.09222293   1
0.0152   9.0       3.7309   -0.3146  3.11026096   1
0.0152   9.0       3.7371   -0.2697  3.11669493   1
0.0152   9.0       3.7467   -0.2002  3.12635612   1
0.0152   9.0       3.7486   -0.1851  3.12839007   1
0.0152   9.0       3.7608   -0.0901  3.14080405   1
0.0152   9.0       3.7734   0.0163  3.15380883   1
0.0152   9.0       3.7821   0.094  3.16273189   1
0.0152   9.0       3.7848   0.1192  3.16554141   1
0.0152   9.0       3.785   0.1205  3.16568279   1
0.0152   9.0       3.7952   0.2183  3.17617631   1
0.0152   9.0       3.7976   0.2415  3.17856431   1
0.0152   9.0       3.805   0.3143  3.18585706   1
0.0152   9.0       3.8126   0.3896  3.19320345   1
0.0152   9.0       3.8142   0.4055  3.19470429   1
0.0152   9.0       3.8228   0.4918  3.20280719   1
0.0152   9.0       3.8315   0.5741  3.21023273   1
0.0152   9.0       3.8402   0.6525  3.21705914   1
0.0152   9.0       3.8446   0.6872  3.21999979   1
0.0152   9.0       3.8497   0.7278  3.22335362   1
0.0152   9.0       3.8587   0.7951  3.22874761   1
0.0152   9.0       3.8594   0.8005  3.2291739   1
0.0152   9.0       3.8683   0.8699  3.23456979   1
0.0152   9.0       3.8683   0.8702  3.23458958   1
0.0152   9.0       3.8754   0.9311  3.23914409   1
0.0152   9.0       3.8761   0.9371  3.23958373   1
0.0152   9.0       3.8761   0.9373  3.23959613   1
0.0152   9.0       3.8807   0.9853  3.24303865   1
0.0152   9.0       3.8822   1.0027  3.24424219   1
0.0152   9.0       3.8839   1.0232  3.24563622   1
0.0152   9.0       3.8868   1.0622  3.24822092   1
0.0152   9.0       3.8872   1.0677  3.24857616   1
0.0152   9.0       3.8887   1.0889  3.24993777   1
0.0152   9.0       3.8912   1.1319  3.25261688   1
0.0152   9.0       3.8924   1.1593  3.25426745   1
0.0152   9.0       3.8935   1.1958  3.25639176   1
0.0152   9.0       3.8939   1.2189  3.2576983   1
0.0152   9.0       3.8939   1.2515  3.25948668   1
0.0152   9.0       3.8938   1.2596  3.25992513   1
0.0152   9.0       3.8932   1.2877  3.26142573   1
0.0152   9.0       3.8916   1.3224  3.26323819   1
0.0152   9.0       3.89   1.346  3.26444197   1
0.0152   9.0       3.8857   1.3829  3.26628304   1
0.0152   9.0       3.8855   1.3843  3.26635003   1
0.0152   9.0       3.8837   1.3969  3.26697159   1
0.0152   9.0       3.8781   1.4277  3.26849031   1
0.0152   9.0       3.874   1.4437  3.26927757   1
0.0152   9.0       3.8706   1.4574  3.26993489   1
0.0152   9.0       3.8625   1.482  3.27112365   1
0.0152   9.0       3.8554   1.5008  3.27203131   1
0.0152   9.0       3.8533   1.5061  3.2722857   1
0.0152   9.0       3.8454   1.523  3.27309942   1
0.0152   9.0       3.8377   1.5392  3.27381778   1
0.0152   9.0       3.8319   1.5629  3.27462268   1
0.0152   9.0       3.8317   1.5648  3.27467704   1
0.0152   9.0       3.8391   1.5919  3.27504992   1
0.0152   9.0       3.8491   1.6127  3.27517128   1
0.0152   9.0       3.8592   1.6317  3.27522445   1
0.0152   9.0       3.8692   1.6512  3.27525353   1
0.0152   9.0       3.879   1.6724  3.27527046   1
0.0152   9.0       3.8883   1.6947  3.27528071   1
0.0152   9.0       3.8972   1.7181  3.27528858   1
0.0152   9.0       3.9003   1.7243  3.27529192   2
0.0152   9.0       3.894   1.6929  3.27529597   2
0.0152   9.0       3.8856   1.666  3.27529883   2
0.0152   9.0       3.8739   1.6494  3.27530217   2
0.0152   9.0       3.8625   1.651  3.27530622   2
0.0152   9.0       3.851   1.6599  3.27531099   2
0.0152   9.0       3.8394   1.6667  3.27531624   2
0.0152   9.0       3.828   1.6698  3.27532244   2
0.0152   9.0       3.8168   1.6696  3.27532935   2
0.0152   9.0       3.8057   1.6666  3.27533746   2
0.0152   9.0       3.7949   1.6604  3.27534723   2
0.0152   9.0       3.7837   1.6484  3.27536058   2
0.0152   9.0       3.7723   1.6278  3.27537751   2
0.0152   9.0       3.7636   1.6047  3.27539206   2
0.0152   9.0       3.7548   1.5743  3.27540731   2
0.0152   9.0       3.7475   1.5431  3.27542043   2
0.0152   9.0       3.7392   1.5035  3.27543569   2
0.0152   9.0       3.7314   1.4682  3.27545071   2
0.0152   9.0       3.7223   1.4449  3.2754693   2
0.0152   9.0       3.714   1.4483  3.2754879   3
0.0152   9.0       3.7127   1.4545  3.27549171   3
0.0152   9.0       3.7064   1.4914  3.27551031   3
0.0152   9.0       3.7013   1.5373  3.27552915   3
0.0152   9.0       3.6977   1.5764  3.27554417   3
0.0152   9.0       3.6945   1.6168  3.27555895   3
0.0152   9.0       3.6914   1.6578  3.27557373   3
0.0152   9.0       3.6884   1.6986  3.27558804   3
0.0152   9.0       3.6856   1.7392  3.2756021   3
0.0152   9.0       3.6829   1.7791  3.27561593   3
0.0152   9.0       3.6816   1.799  3.27562284   3
0.0152   9.0       3.6803   1.8188  3.27562976   3
0.0152   9.0       3.6777   1.8584  3.27564335   3
0.0152   9.0       3.6751   1.8982  3.27565694   3
0.0152   9.0       3.6725   1.9376  3.27567005   3
0.0152   9.0       3.6698   1.9774  3.27568316   3
0.0152   9.0       3.667   2.0174  3.27569604   3
0.0152   9.0       3.6642   2.0575  3.27570868   3
0.0152   9.0       3.6615   2.0966  3.27572083   3
0.0152   9.0       3.6582   2.1415  3.27573466   3
0.0152   9.0       3.6554   2.1812  3.27574658   3
0.0152   9.0       3.6518   2.2282  3.27576041   3
0.0152   9.0       3.6486   2.2703  3.27577257   3
0.0152   9.0       3.6455   2.3127  3.27578449   3
0.0152   9.0       3.642   2.357  3.27579737   3
0.0152   9.0       3.6391   2.3951  3.27580833   3
0.0152   9.0       3.6357   2.4385  3.27582169   3
0.0152   9.0       3.6322   2.4831  3.27583957   3
0.0152   9.0       3.6321   2.4844  3.27584028   4
0.0152   9.0       3.6348   2.4518  3.27584386   4
0.0152   9.0       3.6371   2.4215  3.27584481   4
0.0152   9.0       3.6395   2.3912  3.27584553   4
0.0152   9.0       3.6427   2.3509  3.27584672   4
0.0152   9.0       3.6465   2.3017  3.27584839   4
0.0152   9.0       3.6504   2.2506  3.27585053   4
0.0152   9.0       3.6534   2.2114  3.27585268   4
0.0152   9.0       3.6571   2.1628  3.27585626   4
0.0152   9.0       3.66   2.1243  3.27585936   4
0.0152   9.0       3.6629   2.0859  3.27586317   4
0.0152   9.0       3.6663   2.0385  3.27586889   4
0.0152   9.0       3.6699   1.9909  3.27587628   4
0.0152   9.0       3.6733   1.9428  3.27588701   4
0.0152   9.0       3.6774   1.8872  3.27590728   4
0.0152   9.0       3.6807   1.8414  3.27592444   4
0.0152   9.0       3.6836   1.8021  3.27593946   4
0.0152   9.0       3.687   1.754  3.27596068   4
0.0152   9.0       3.6908   1.7042  3.27599144   4
0.0152   9.0       3.6945   1.6557  3.27603483   4
0.0152   9.0       3.6978   1.6169  3.27609539   4
0.0152   9.0       3.6988   1.6065  3.27613425   5
0.0152   9.0       3.6991   1.632  3.2770648   5
0.0152   9.0       3.6991   1.6373  3.27724242   5
0.0152   9.0       3.6997   1.6793  3.2786262   5
0.0152   9.0       3.6997   1.7063  3.27936959   5
0.0152   9.0       3.6996   1.7218  3.27977943   5
0.0152   9.0       3.6991   1.7592  3.28068566   5
0.0152   9.0       3.6982   1.7974  3.28154731   5
0.0152   9.0       3.697   1.8253  3.28211308   6
0.0152   9.0       3.6961   1.8398  3.28236461   6
0.0152   9.0       3.6922   1.8865  3.28299761   6
0.0152   9.0       3.6912   1.8964  3.28308654   7
0.0152   9.0       3.6807   2.0229  3.28331494   7
0.0152   9.0       3.6776   2.0532  3.28353047   7
0.0152   9.0       3.6735   2.096  3.28359413   7
0.0152   9.0       3.672   2.1123  3.28360772   7
0.0152   9.0       3.6711   2.122  3.28361559   7
0.0152   9.0       3.6684   2.1521  3.28362846   7
0.0152   9.0       3.6661   2.178  3.28363395   7
0.0152   9.0       3.6638   2.2051  3.28363705   7
0.0152   9.0       3.6617   2.2308  3.28363895   7
0.0152   9.0       3.663   2.2157  3.28364277   7
0.0152   9.0       3.6646   2.1964  3.28365111   7
0.0152   9.0       3.6596   2.2574  3.28371072   7
0.0152   9.0       3.6559   2.3034  3.28374076   7
0.0152   9.0       3.6521   2.3498  3.2837677   7
0.0152   9.0       3.6483   2.3953  3.28378987   7
0.0152   9.0       3.6451   2.4363  3.28380632   7
0.0152   9.0       3.642   2.4746  3.28381968   7
0.0152   9.0       3.6389   2.5112  3.28383017   7
0.0152   9.0       3.6362   2.5429  3.28383613   7
0.0152   9.0       3.6335   2.5766  3.28384304   7
0.0152   9.0       3.631   2.6072  3.28385043   7
0.0152   9.0       3.6284   2.6386  3.28385806   7
0.0152   9.0       3.6258   2.6697  3.28386521   7
0.0152   9.0       3.6232   2.7007  3.28387237   7
0.0152   9.0       3.6205   2.7326  3.28387952   7
0.0152   9.0       3.6179   2.7643  3.28388643   7
0.0152   9.0       3.6149   2.7991  3.28389311   7
0.0152   9.0       3.6117   2.8374  3.28390002   7
0.0152   9.0       3.6079   2.8815  3.28390598   7
0.0152   9.0       3.6069   2.8926  3.28390718   8
